model,variant,overall,has_context_hard,contradiction,numeric,relational,features,seconds
tfidf_logreg,V0,0.542,0.592,0.742,0.558,0.586,"259,454",3.4
tfidf_logreg,V1,0.549,0.61,0.712,0.561,0.581,"215,601",4.9
tfidf_logreg,V2,0.544,0.596,0.71,0.548,0.581,"209,650",4.8
tfidf_logreg,V3,0.551,0.61,0.742,0.573,0.571,"207,385",5.7
tfidf_logreg,V4,0.549,0.61,0.726,0.555,0.586,"201,504",3.6
tfidf_logreg,V2-demo,0.53,0.609,0.528,0.549,0.57,"209,054",3.3
skipgram_mean_xgb,V0,0.522,0.557,0.558,0.549,0.541,90.1%,6.8
skipgram_mean_xgb,V1,0.519,0.557,0.513,0.539,0.493,94.0%,11.2
skipgram_mean_xgb,V2,0.498,0.501,0.528,0.509,0.44,92.7%,3.1
skipgram_mean_xgb,V3,0.515,0.523,0.552,0.533,0.542,94.5%,10.6
skipgram_mean_xgb,V4,0.522,0.568,0.633,0.534,0.533,93.2%,10.5
skipgram_mean_xgb,V2-demo,0.518,0.557,0.491,0.513,0.531,92.6%,8.4
